Sample Name	Protocol REF	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[seed collection location]	Factor Value[strain origin]
An-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	An-2_1	1_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	1_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Antwerpen, Netherlands	wild type
An-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	An-2_2	1_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	1_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Antwerpen, Netherlands	wild type
An-2	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	An-2_3	1_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	1_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Antwerpen, Netherlands	wild type
Ang-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Ang-0_1	2_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	2_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Angleur , Belgium	wild type
Ang-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Ang-0_2	2_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	2_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Angleur , Belgium	wild type
Ang-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Ang-0_3	2_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	2_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Angleur , Belgium	wild type
Bd-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bd-0_1	3_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	3_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Berlin/Dahlem, Germany	wild type
Bd-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bd-0_2	3_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	3_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Berlin/Dahlem, Germany	wild type
Bd-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Bd-0_3	3_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	3_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Berlin/Dahlem, Germany	wild type
Be-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Be-0_1	4_1.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	4_1.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bensheim/Bergstr., Germany	wild type
Be-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Be-0_2	4_2.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	4_2.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bensheim/Bergstr., Germany	wild type
Be-0	LC-MS analysis and flavonoid mutant-based peak annotation	Chromatography	Mass spectrometry	Be-0_3	4_3.RAW	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Data processing	4_3.cdf	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Metabolite data analysis	m_mtbls528_metabolite_profiling_mass_spectrometry_v2_maf.tsv	MetaboLights	MTBLS528	http://identifiers.org/metabolights/MTBLS528	Secondary metabolite analysis	doi:10.6084/m9.figshare.c.3938875	figshare	doi:10.6084/m9.figshare.c.3938875	http://doi.org/10.6084/m9.figshare.c.3938875	Bensheim/Bergstr., Germany	wild type
