Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[altitude]	Unit	Term Source REF	Term Accession Number	Protocol REF	Comment[accession ID]	Sample Name	Factor Value[seed collection location]	Factor Value[strain origin]
Arabidopsis seeds from Bulhary, Austria	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Austria	GAZ	GAZ:00002942	48.83	degree	UO	UO:0000185	16.74	degree	UO	UO:0000185	248.4	meter	UO	UO:0000008	Plant material and sample preparation	CS76098	Blh-1	Bulhary, Austria	wild type
Arabidopsis seeds from Graz, Austria, Austria	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Austria	GAZ	GAZ:00002942	47	degree	UO	UO:0000185	15.5	degree	UO	UO:0000185	332	meter	UO	UO:0000008	Plant material and sample preparation	CS76137	Gr-1	Graz, Austria, Austria	wild type
Arabidopsis seeds from Angleur, Belgium	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Belgium	GAZ	GAZ:00002938	50.61	degree	UO	UO:0000185	5.59	degree	UO	UO:0000185	270.4	meter	UO	UO:0000008	Plant material and sample preparation	CS28018	Ang-0	Angleur , Belgium	wild type
Arabidopsis seeds from Czech republic	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Czech republic	GAZ	GAZ:00002954	49.3	degree	UO	UO:0000185	17	degree	UO	UO:0000185	279	meter	UO	UO:0000008	Plant material and sample preparation	CS28365	Je-54	Czech republic	wild type
Arabidopsis seeds from Slapy, Czech republic	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Czech republic	GAZ	GAZ:00002954	49.49	degree	UO	UO:0000185	14.24	degree	UO	UO:0000185	494.6	meter	UO	UO:0000008	Plant material and sample preparation	CS76224	Sap-0	Slapy, Czech republic	wild type
Arabidopsis seeds from Slavice, Czech republic	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Czech republic	GAZ	GAZ:00002954	49.18	degree	UO	UO:0000185	15.88	degree	UO	UO:0000185	701	meter	UO	UO:0000008	Plant material and sample preparation	CS28725	Sav-0	Slavice, Czech republic	wild type
Arabidopsis seeds from Tabor, Czech republic	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Czech republic	GAZ	GAZ:00002954	49.5	degree	UO	UO:0000185	14.5	degree	UO	UO:0000185	398.2	meter	UO	UO:0000008	Plant material and sample preparation	CS76242	Ta-0	Tabor, Czech republic	wild type
Arabidopsis seeds from Estland, Estonia	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Estonia	GAZ	GAZ:00002959	58.3	degree	UO	UO:0000185	25.3	degree	UO	UO:0000185	29.1	meter	UO	UO:0000008	Plant material and sample preparation	CS76127	Est-1	Estland, Estonia	wild type
Arabidopsis seeds from Tenala, Finland	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Finland	GAZ	GAZ:00002937	60.06	degree	UO	UO:0000185	23.3	degree	UO	UO:0000185	30.9	meter	UO	UO:0000008	Plant material and sample preparation	CS28757	Te-0	TenalaÂ , Finland	wild type
Arabidopsis seeds from St Jean Cap Ferrat , France	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	French Republic	GAZ	GAZ:00002940	43.68	degree	UO	UO:0000185	7.33	degree	UO	UO:0000185	10.8	meter	UO	UO:0000008	Plant material and sample preparation	CS76148	JEA	St Jean Cap Ferrat , France	wild type
